cpt_code_range,ccs_numerical_label
57307-57307,72
44015-44015,73
44130-44130,73
44186-44187,73
44201-44201,73
44300-44316,73
47802-47802,73
48001-48001,73
48150-48150,73
48152-48154,73
49441-49446,73
49451-49451,73
56347-56347,73
43620-43634,74
43638-43639,74
43496-43496,75
44120-44128,75
44132-44133,75
44202-44203,75
44661-44661,75
S2050-S2050,75
0066T-0066T,76
0067T-0067T,76
44388-44389,76
44391-44408,76
45355-45378,76
45380-45393,76
45398-45398,76
45500-45505,76
C1749-C1749,76
G0105-G0105,76
G0121-G0121,76
G6019-G6019,76
G6020-G6020,76
G6024-G6024,76
G6025-G6025,76
0226T-0227T,77
45100-45100,77
45300-45305,77
45308-45331,77
45333-45350,77
46600-46607,77
46610-46615,77
C9735-C9735,77
G0104-G0104,77
G6022-G6022,77
G6023-G6023,77
G6027-G6027,77
G6028-G6028,77
S0601-S0601,77
44139-44160,78
44204-44208,78
44210-44213,78
45110-45136,78
45160-45160,78
45171-45172,78
45395-45397,78
45402-45402,78
45550-45550,78
44110-44111,79
44950-44979,80
49315-49315,80
56315-56315,80
0249T-0249T,81
46083-46083,81
46221-46262,81
46320-46500,81
46930-46936,81
46945-46947,81
C9717-C9717,81
43260-43265,82
43267-43269,82
43271-43278,82
74328-74330,82
47000-47001,83
47100-47100,83
47400-47460,84
47550-47550,84
47562-47564,84
47600-47630,84
49310-49311,84
56324-56342,84
49491-49535,85
49550-49557,85
49650-49651,85
56316-56317,85
39502-39541,86
43281-43282,86
43332-43337,86
43885-43885,86
44346-44346,86
49540-49540,86
49560-49611,86
49652-49659,86
55540-55540,86
43289-43289,87
43659-43659,87
44209-44209,87
44238-44239,87
45499-45499,87
47579-47579,87
49300-49303,87
49320-49322,87
49324-49329,87
56399-56399,87
S2075-S2075,87
S2076-S2076,87
S2077-S2077,87
S2082-S2082,87
S2085-S2085,87
49080-49084,88
43605-43605,89
49000-49010,89
49220-49220,89
44005-44005,90
44200-44200,90
56304-56304,90
56310-56310,90
56352-56352,90
90945-90947,91
90989-90997,91
90999-90999,91
44010-44010,92
44020-44020,92
44025-44025,92
44100-44100,92
0008T-0008T,93
43216-43216,93
43227-43227,93
43245-43245,93
44378-44378,93
91000-91000,93
91105-91105,93
M0100-M0100,93
S2083-S2083,93
0155T-0158T,94
0162T-0162T,94
32665-32665,94
43000-43020,94
43040-43136,94
43279-43280,94
43283-43283,94
43300-43331,94
43338-43361,94
43401-43425,94
43499-43502,94
43520-43520,94
43610-43611,94
43635-43635,94
43640-43641,94
43647-43652,94
43761-43761,94
43800-43825,94
43840-43840,94
43844-43844,94
43850-43882,94
43999-43999,94
44615-44615,94
C9701-C9701,94
C9737-C9737,94
S2079-S2079,94
S2213-S2213,94
0288T-0288T,95
0377T-0377T,95
44705-44705,95
45190-45190,95
46220-46220,95
46900-46924,95
46937-46942,95
91123-91123,95
G0455-G0455,95
0170T-0170T,96
0184T-0184T,96
44021-44021,96
44050-44055,96
44180-44180,96
44227-44227,96
44370-44372,96
44602-44604,96
44620-44660,96
44680-44701,96
44799-44901,96
45000-45020,96
45108-45108,96
45150-45150,96
45170-45170,96
45180-45180,96
45399-45400,96
45540-45541,96
45562-45562,96
45800-45800,96
45820-45820,96
45900-45915,96
45999-46080,96
46200-46211,96
46270-46288,96
46505-46505,96
46700-46742,96
46750-46762,96
46999-46999,96
C9716-C9716,96
G6021-G6021,96
0240T-0242T,97
0355T-0355T,97
45990-45990,97
47552-47553,97
47560-47561,97
47700-47700,97
48100-48102,97
48400-48400,97
49180-49180,97
49400-49401,97
49424-49424,97
49427-49427,97
56363-56363,97
91010-91065,97
91112-91122,97
91132-91299,97
C9712-C9712,97
44500-44500,98
45520-45520,98
47525-47530,98
49411-49411,98
91100-91100,98
91110-91111,98
99175-99175,98
0141T-0141T,99
0142T-0142T,99
0143T-0143T,99
44040-44040,99
44131-44131,99
44137-44137,99
44364-44369,99
44600-44600,99
44610-44610,99
47010-47015,99
47120-47134,99
47300-47399,99
47480-47490,99
47510-47511,99
47554-47556,99
47570-47570,99
47701-47801,99
47900-48000,99
48005-48020,99
48105-48148,99
48151-48151,99
48155-48155,99
48180-48180,99
48500-48550,99
48556-48999,99
49020-49061,99
49085-49085,99
49200-49215,99
49250-49255,99
49402-49407,99
49412-49423,99
49425-49426,99
49428-49436,99
49460-49460,99
49900-49999,99
56348-56349,99
50551-50555,100
50570-50570,100
50574-50574,100
50951-50951,100
50955-50955,100
50970-50970,100
50974-50974,100
52000-52000,100
52007-52204,100
52276-52276,100
52335-52335,100
52338-52338,100
52340-52340,100
52351-52351,100
52354-52354,100
53200-53200,100
50561-50561,101
50580-50580,101
50957-50957,101
50961-50961,101
50976-50976,101
50980-50980,101
52001-52001,101
52214-52240,101
52300-52315,101
52320-52325,101
52330-52330,101
52336-52336,101
52341-52346,101
52352-52352,101
52500-52500,101
52640-52640,101
S2070-S2070,101
50393-50393,102
50572-50572,102
50605-50605,102
50947-50948,102
50953-50953,102
50972-50972,102
52005-52005,102
52332-52332,102
50010-50081,103
50120-50135,103
50395-50395,103
52334-52334,103
50220-50240,104
50300-50340,104
50370-50370,104
50543-50543,104
50545-50548,104
50360-50365,105
50380-50380,105
S2065-S2065,105
51715-51715,106
51840-51845,106
51990-51992,106
53440-53443,106
53445-53445,106
53447-53449,106
57220-57220,106
57287-57288,106
50590-50590,107
52337-52337,107
52353-52353,107
52356-52356,107
S0400-S0400,107
51701-51703,108
53670-53675,108
G0002-G0002,108
0084T-0084T,109
0193T-0193T,109
52270-52275,109
52277-52285,109
52290-52290,109
52400-52400,109
52441-52442,109
53000-53060,109
53210-53431,109
53444-53444,109
53446-53446,109
53450-53665,109
53855-53860,109
54308-54318,109
57310-57311,109
50200-50205,110
50549-50549,110
51999-51999,110
P9612-P9612,110
P9615-P9615,110
0029T-0029T,111
50382-50390,111
50398-50398,111
50592-50592,111
50688-50688,111
50949-50949,111
51000-51000,111
51100-51100,111
51700-51700,111
51705-51710,111
52265-52265,111
0135T-0135T,112
50250-50290,112
50391-50392,112
50400-50542,112
50544-50544,112
50557-50559,112
50562-50562,112
50575-50578,112
50593-50600,112
50610-50660,112
50700-50945,112
51005-51080,112
51101-51597,112
51800-51820,112
51860-51920,112
51940-51980,112
52250-52260,112
52287-52287,112
52317-52318,112
52327-52327,112
52339-52339,112
52355-52355,112
53080-53085,112
53899-53899,112
57320-57330,112
S2090-S2090,112
S2091-S2091,112
52601-52601,113
52612-52630,113
52650-52650,113
53850-53853,113
55801-55845,114
55866-55866,114
55873-55873,114
G0160-G0160,114
54150-54161,115
54163-54163,115
0137T-0137T,116
54100-54105,116
54231-54250,116
54500-54505,116
54699-54699,116
54800-54820,116
54865-54865,116
55110-55110,116
55700-55706,116
G0102-G0102,116
G0416-G0416,116
G0417-G0417,116
G0418-G0418,116
G0419-G0419,116
54000-54001,117
54050-54057,117
54200-54200,117
54450-54450,117
55000-55000,117
55100-55100,117
55120-55120,117
55200-55250,117
55450-55450,117
55870-55870,117
55875-55876,117
55920-55920,117
C9713-C9713,117
52347-52347,118
52402-52402,118
52450-52450,118
52510-52510,118
52606-52606,118
52647-52649,118
52700-52700,118
54015-54015,118
54060-54065,118
54110-54135,118
54162-54162,118
54164-54164,118
54205-54220,118
54300-54304,118
54322-54440,118
54510-54692,118
54700-54700,118
54830-54861,118
54900-54901,118
55040-55060,118
55150-55180,118
55400-55400,118
55500-55535,118
55550-55680,118
55720-55740,118
55859-55865,118
55899-55899,118
55970-55970,118
56318-56320,118
C9739-C9739,118
C9740-C9740,118
56307-56307,119
58661-58661,119
58720-58720,119
58940-58950,119
58952-58952,119
58988-58988,119
56301-56303,120
56343-56343,120
58740-58740,120
58800-58822,120
58825-58825,120
58920-58925,120
58970-58970,120
58982-58985,120
58600-58615,121
58670-58671,121
S2255-S2255,121
59120-59151,122
56344-56344,123
58345-58345,123
58350-58350,123
58565-58565,123
58672-58672,123
58700-58700,123
58750-58770,123
51925-51925,124
56308-56308,124
58150-58294,124
58541-58544,124
58548-58550,124
58552-58554,124
58570-58573,124
58951-58951,124
58953-58956,124
59525-59525,124
S2078-S2078,124
0009T-0009T,125
57461-57461,125
57510-57550,125
57558-57558,125
58140-58146,125
58353-58356,125
58545-58546,125
58551-58551,125
58559-58561,125
58563-58563,125
58994-58996,125
59840-59857,126
S0199-S0199,126
S2260-S2260,126
S2262-S2262,126
S2265-S2265,126
S2266-S2266,126
S2267-S2267,126
S8055-S8055,126
59160-59160,127
59812-59830,127
57820-57820,128
58102-58102,128
58120-58120,128
45560-45560,129
57120-57120,129
57230-57270,129
57284-57285,129
57289-57289,129
57423-57423,129
57555-57556,129
0003T-0003T,130
0031T-0031T,130
0032T-0032T,130
56100-56100,130
56300-56300,130
56305-56305,130
56311-56311,130
56350-56351,130
56360-56361,130
56600-56606,130
56820-57000,130
57100-57105,130
57410-57410,130
57420-57421,130
57450-57450,130
57452-57460,130
57500-57500,130
58100-58100,130
58110-58110,130
58340-58340,130
58555-58558,130
58578-58579,130
58679-58679,130
58900-58900,130
58960-58960,130
